workId,genreId
"jan-pieterszoon-sweelinck-1562-toccata-no-1-in-a-minor-43","keyboard"
"karol-szymanowski-1882-9-preludes-op-1-m1-15","keyboard"
"jan-pieterszoon-sweelinck-1562-toccata-in-dorian-mode-swwv-286-42","keyboard"
"jan-pieterszoon-sweelinck-1562-o-mijn-god-wilt-mij-nu-bevrijden-variations-29","keyboard"
"jan-pieterszoon-sweelinck-1562-toccata-no-2-in-c--44","keyboard"
"karol-szymanowski-1882-variations-on-a-polish-folk-theme-in-b-minor-op-10-m10-47","keyboard"
"karol-szymanowski-1882-piano-sonata-no-1-in-c-major-op-8-m8-27","keyboard"
"jan-pieterszoon-sweelinck-1562-more-palatino-almand-gratie-27","keyboard"
"thomas-tallis-1505-ecce-tempus-idoneum--13","keyboard"
"jan-pieterszoon-sweelinck-1562-toccata-noni-toni-swwv-297-47","keyboard"
"jan-pieterszoon-sweelinck-1562-puer-nobis-nascitur-variations-37","keyboard"
"toru-takemitsu-1930-romance-69","keyboard"
"igor-stravinsky-1882-sonata-for-2-pianos-73","keyboard"
"jan-pieterszoon-sweelinck-1562-fantasia-ut-re-mi-fa-sol-la-for-keyboard-swwv-263-21","keyboard"
"josef-suk-1874-listek-do-pamatniku--17","keyboard"
"josef-suk-1874-2-piano-pieces-0","keyboard"
"josef-suk-1874-lullabies--for-piano-op-33-19","keyboard"
"josef-suk-1874-capriccietto-in-g-9","keyboard"
"jan-pieterszoon-sweelinck-1562-echo-fantasia-in-dorian-12","keyboard"
"jan-pieterszoon-sweelinck-1562-echo-fantasia-no-1-in-c-13","keyboard"
"josef-suk-1874-love-song-for-piano-op-7-no-1-18","keyboard"
"igor-stravinsky-1882-circus-polka-10","keyboard"
"jan-pieterszoon-sweelinck-1562-hexachord-fantasia-24","keyboard"
"igor-stravinsky-1882-les-cinq-doigts-43","keyboard"
"jan-pieterszoon-sweelinck-1562-engelse-fortuin-swwv-320-von-der-fortuna-werd-ich-getrieben-fortune-my-foe-15","keyboard"
"josef-suk-1874-pieces-op--22a-spring-27","keyboard"
"josef-suk-1874-pieces--for-piano-op--22b-summer-impressions-26","keyboard"
"josef-suk-1874-sneni--35","keyboard"
"jan-pieterszoon-sweelinck-1562-capriccio-in-a-minor-for-organ-5","keyboard"
"jan-pieterszoon-sweelinck-1562-echo-fantasia-no-1-in-d-minor-14","keyboard"
"jan-pieterszoon-sweelinck-1562-almande-chapelle-for-keyboard-1","keyboard"
"josef-suk-1874-psina-spanelska--30","keyboard"
"josef-suk-1874-6-pieces-for-piano-op-7-2","keyboard"
"jan-pieterszoon-sweelinck-1562-fantazia-op-de-fuga-van-m-jan-pieters-fecit-dr-bull-1621-22","keyboard"
"jan-pieterszoon-sweelinck-1562-allein-gott-in-der-hoh-sei-ehr-4-chorale-variations--0","keyboard"
"igor-stravinsky-1882-piano-sonata-57","keyboard"
"igor-stravinsky-1882-scherzo-68","keyboard"
"jan-pieterszoon-sweelinck-1562-fantasia-chromatica-in-dorian-swwv-258-18","keyboard"
"igor-stravinsky-1882-concerto-for-2-solo-pianos-13","keyboard"
"igor-stravinsky-1882-five-easy-pieces-31","keyboard"
"igor-stravinsky-1882-four-piano-etudes-32","keyboard"
"igor-stravinsky-1882-three-easy-pieces-92","keyboard"
"igor-stravinsky-1882-tango-84","keyboard"
"josef-suk-1874-andante-5","keyboard"
"jan-pieterszoon-sweelinck-1562-echo-fantasia-for-organ-no-2-in-d-minor-swwv-261-10","keyboard"
"jan-pieterszoon-sweelinck-1562-ik-heb-den-heer-lief-variations-25","keyboard"
"igor-stravinsky-1882-piano-sonata-in-f-sharp-minor-58","keyboard"
"jan-pieterszoon-sweelinck-1562-fantasia-no-3-in-f-fantasia-mit-bindungen-20","keyboard"
"josef-suk-1874-jaro-op-22a-15","keyboard"
"josef-suk-1874-episodes-op-13-11","keyboard"
"jan-pieterszoon-sweelinck-1562-echo-fantasia-in-a-minor-11","keyboard"
"josef-suk-1874-bagatelle-6","keyboard"
"josef-suk-1874-vesnicka-serenada--39","keyboard"
"jan-pieterszoon-sweelinck-1562-fantasia-no-2-in-g-minor-19","keyboard"
"josef-suk-1874-minuet-22","keyboard"
"josef-suk-1874-zivotem-a-snem--for-piano-op-30-40","keyboard"
"josef-suk-1874-about-mother-5-pieces-for-piano-op-28-4","keyboard"
"jan-pieterszoon-sweelinck-1562-est-ce-mars-variations-for-keyboard-swwv-321-17","keyboard"
"josef-suk-1874-nalady-op-10-23","keyboard"
"igor-stravinsky-1882-serenade-in-a-major-72","keyboard"
"josef-suk-1874-scherzino-32","keyboard"
"igor-stravinsky-1882-etude-27","keyboard"
"igor-stravinsky-1882-valse-pour-les-enfants-103","keyboard"
"josef-suk-1874-letni-dojmy-op-22b-16","keyboard"
"jan-pieterszoon-sweelinck-1562-des-boosdoenders-wille-seer-quaet-variations-7","keyboard"
"igor-stravinsky-1882-piano-rag-music-59","keyboard"
"jan-pieterszoon-sweelinck-1562-erbarm-dich-mein-o-herre-gott-chorale-variations-16","keyboard"
"richard-strauss-1864-parade-marsch-no-2-fur-cavallerie-in-d-flat-major-trv222-122","keyboard"
"richard-strauss-1864-fugue-on-4-themes-for-piano-woo71--94","keyboard"
"richard-strauss-1864-piano-sonata-in-b-minor-op-5-trv103-125","keyboard"
"richard-strauss-1864-stimmungsbilder-for-2-pianos-op-9-trv127-145","keyboard"
"richard-strauss-1864-konigsmarsch--in-e-flat-major-woo100-trv217-108","keyboard"
"richard-strauss-1864-parade-marsch-no-1-des-regiments-konigs-jager-zu-pferde-in-e-flat-major-trv213-121","keyboard"
"wilhelm-stenhammar-1871-3-fantasies-for-piano-op-11-0","keyboard"
"richard-strauss-1864-5-pieces-op-3-trv105-24","keyboard"
"karlheinz-stockhausen-1928-klavierstuck-ix-7","keyboard"
"wilhelm-stenhammar-1871-impromptu-for-piano-in-g-flat-major-22","keyboard"
"richard-strauss-1864-capriccio-suite-from-the-opera-for-harpsichord-or-piano-op-85--48","keyboard"
"wilhelm-stenhammar-1871-piano-sonata-no-2-in-c-minor-45","keyboard"
"wilhelm-stenhammar-1871-late-summer-nights-for-piano-op-33-35","keyboard"
"wilhelm-stenhammar-1871-piano-sonata-no-3-in-a-flat-major-op-12-46","keyboard"
"karlheinz-stockhausen-1928-klavierstuck-iii-6","keyboard"
"karlheinz-stockhausen-1928-klavierstuck-v-8","keyboard"
"wilhelm-stenhammar-1871-impromptu-waltz-23","keyboard"
"wilhelm-stenhammar-1871-allegro-con-moto-ed-appassionato-4","keyboard"
"wilhelm-stenhammar-1871-fantasie-for-piano-in-a-minor-12","keyboard"
"wilhelm-stenhammar-1871-small-pieces--for-piano-52","keyboard"
"karlheinz-stockhausen-1928-klavierstuck-xi-9","keyboard"
"wilhelm-stenhammar-1871-piano-sonata-no-1-in-c-44","keyboard"
"wilhelm-stenhammar-1871-piano-sonata-no-4-in-g-minor-47","keyboard"
"wilhelm-stenhammar-1871-intermezzo-for-piano-24","keyboard"
"jean-sibelius-1865-yearning-the-mystery-of-the-sighs-suite-387","keyboard"
"bedrich-smetana-1824-louisen-polka--in-e-flat-major-jb-11-23","keyboard"
"jean-sibelius-1865-waltz-in-e-379","keyboard"
"jean-sibelius-1865-valse-lyrique-op-96a-369","keyboard"
"jean-sibelius-1865-tempo-di-valse-in-a-major-js-2-329","keyboard"
"bedrich-smetana-1824-the-curious-one--42","keyboard"
"bedrich-smetana-1824-souvenir-de-boheme-en-forme-de-polkas-book-1-jb-176-op-12-35","keyboard"
"bedrich-smetana-1824-4-czech-dances-book-1-jb-1107-3","keyboard"
"jean-sibelius-1865-waltz-in-d-flat-major-377","keyboard"
"jean-sibelius-1865-to-longing--362","keyboard"
"bedrich-smetana-1824-3-polkas-de-salon-op-7-1","keyboard"
"jean-sibelius-1865-valse-a-betsy-lerche-in-a-flat-major-js-1-368","keyboard"
"bedrich-smetana-1824-souvenir-de-boheme-en-forme-de-polkas-book-2-jb-177-op-13-36","keyboard"
"bedrich-smetana-1824-concert-etude-in-c-major-jb-173-11","keyboard"
"jean-sibelius-1865-vivace-in-e-flat-major-375","keyboard"
"jean-sibelius-1865-waltz-in-d-minor--378","keyboard"
"jean-sibelius-1865-valse-triste-op-44-370","keyboard"
"bedrich-smetana-1824-bagatelles-et-impromptus-for-piano-5","keyboard"
"bedrich-smetana-1824-3-polkas-poetiques-op-8-2","keyboard"
"jean-sibelius-1865-vivace-in-d-minor-js-221-374","keyboard"
"bedrich-smetana-1824-fantasy-on-czech-national-songs-in-b-major-jb-183-17","keyboard"
"bedrich-smetana-1824-3-hochzeitsszenen-jb-144-0","keyboard"
"bedrich-smetana-1824-6-preludes-jb-130-4","keyboard"
"bedrich-smetana-1824-reves-6-characteristic-pieces-jb-1103-31","keyboard"
"jean-sibelius-1865-the-cavalier-js-109-338","keyboard"
"bedrich-smetana-1824-sonata-movement-for-2-pianos-8-hands-in-e-minor-jb-147-34","keyboard"
