id,name,title,description,popular,recommended,primarySource
"henry-purcell-1659-henry-ii-king-of-england-z580-65","Henry II, King of England, Z.580","Henry II, King of England, Z.580","Purcell - Henry II, King of England, Z.580",false,false,openopus
"henry-purcell-1659-here-let-my-life-for-2-voices-and-continuo-66","Here let my life, for 2 voices and continuo","Here let my life, for 2 voices and continuo","Purcell - Here let my life, for 2 voices and continuo",false,false,openopus
"henry-purcell-1659-here-the-deities-approve-for-chamber-ensemble-67","Here, the deities approve, for chamber ensemble","Here, the deities approve, for chamber ensemble","Purcell - Here, the deities approve, for chamber ensemble",false,false,openopus
"henry-purcell-1659-hornpipe-in-b-flat-major-z683-68","Hornpipe in B flat major, Z.683","Hornpipe in B flat major, Z.683","Purcell - Hornpipe in B flat major, Z.683",false,false,openopus
"henry-purcell-1659-hornpipe-in-d-minor-z684-round-o-from-abdelazar-69","Hornpipe in D minor, Z.684, ""Round O' from 'Abdelazar""","Hornpipe in D minor, Z.684, ""Round O' from 'Abdelazar""","Purcell - Hornpipe in D minor, Z.684, ""Round O' from 'Abdelazar""",false,false,openopus
"henry-purcell-1659-hornpipe-in-e-minor-z685-70","Hornpipe in E minor, Z.685","Hornpipe in E minor, Z.685","Purcell - Hornpipe in E minor, Z.685",false,false,openopus
"henry-purcell-1659-hosanna-to-the-highest-for-bass-chorus-and-continuo-z187-71","Hosanna to the Highest, for bass, chorus, and continuo, Z.187","Hosanna to the Highest, for bass, chorus, and continuo, Z.187","Purcell - Hosanna to the Highest, for bass, chorus, and continuo, Z.187",false,false,openopus
"henry-purcell-1659-how-happys-the-husband-song-z-5821-72","How happy's the husband, song, Z. 582/1","How happy's the husband, song, Z. 582/1","Purcell - How happy's the husband, song, Z. 582/1",false,false,openopus
"henry-purcell-1659-how-long-great-god-for-soprano-and-continuo-z189-73","How Long, Great God?, for soprano and continuo, Z.189","How Long, Great God?, for soprano and continuo, Z.189","Purcell - How Long, Great God?, for soprano and continuo, Z.189",false,false,openopus
"henry-purcell-1659-how-pleasant-is-this-flowery-plain-for-soprano-tenor-2-recorders-and-continuo-z543-74","How Pleasant is this Flowery Plain, for soprano, tenor, 2 recorders, and continuo, Z.543","How Pleasant is this Flowery Plain, for soprano, tenor, 2 recorders, and continuo, Z.543","Purcell - How Pleasant is this Flowery Plain, for soprano, tenor, 2 recorders, and continuo, Z.543",false,false,openopus
"henry-purcell-1659-i-gave-her-cakes-and-i-gave-her-ale-catch-for-3-voices-z256-75","I Gave Her Cakes and I Gave Her Ale, catch for 3 voices, Z.256","I Gave Her Cakes and I Gave Her Ale, catch for 3 voices, Z.256","Purcell - I Gave Her Cakes and I Gave Her Ale, catch for 3 voices, Z.256",false,false,openopus
"henry-purcell-1659-i-lovd-fair-celia-z381-76","I lov'd fair Celia, Z.381","I lov'd fair Celia, Z.381","Purcell - I lov'd fair Celia, Z.381",false,false,openopus
"henry-purcell-1659-i-love-and-i-must-z382-77","I Love and I Must, Z.382","I Love and I Must, Z.382","Purcell - I Love and I Must, Z.382",false,false,openopus
"henry-purcell-1659-i-resolve-against-cringing-z386-78","I resolve against cringing, Z.386","I resolve against cringing, Z.386","Purcell - I resolve against cringing, Z.386",false,false,openopus
"henry-purcell-1659-i-take-no-pleasure-in-the-suns-bright-beams-z388-79","I take no pleasure in the sun's bright beams, Z.388","I take no pleasure in the sun's bright beams, Z.388","Purcell - I take no pleasure in the sun's bright beams, Z.388",false,false,openopus
"henry-purcell-1659-i-was-glad-when-they-said-unto-me-for-alto-tenor-bass-chorus-string-and-organ-z19--80","I Was Glad When They Said Unto Me, for alto, tenor, bass, chorus, string and organ, Z.19 ","I Was Glad When They Said Unto Me, for alto, tenor, bass, chorus, string and organ, Z.19 ","Purcell - I Was Glad When They Said Unto Me, for alto, tenor, bass, chorus, string and organ, Z.19 ",false,false,openopus
"henry-purcell-1659-i-will-give-thanks-unto-thee-o-lord-z20-81","I Will Give Thanks Unto Thee, O Lord, Z.20","I Will Give Thanks Unto Thee, O Lord, Z.20","Purcell - I Will Give Thanks Unto Thee, O Lord, Z.20",false,false,openopus
"henry-purcell-1659-i-will-love-thee-o-lord-anthem-for-bass-chorus-and-organ-z67-82","I will love Thee, O Lord, anthem for bass, chorus and organ, Z.67","I will love Thee, O Lord, anthem for bass, chorus and organ, Z.67","Purcell - I will love Thee, O Lord, anthem for bass, chorus and organ, Z.67",false,false,openopus
"henry-purcell-1659-i-will-sing-unto-the-lord-for-soloists-chorus-and-organ-z22--83","I will sing unto the Lord, for soloists, chorus and organ, Z.22 ","I will sing unto the Lord, for soloists, chorus and organ, Z.22 ","Purcell - I will sing unto the Lord, for soloists, chorus and organ, Z.22 ",false,false,openopus
"henry-purcell-1659-if-ever-i-more-riches-did-desire-for-2-sopranos-tenor-bass-2-violins-and-continuo-z544-84","If Ever I More Riches Did Desire, for 2 sopranos, tenor, bass, 2 violins, and continuo, Z.544","If Ever I More Riches Did Desire, for 2 sopranos, tenor, bass, 2 violins, and continuo, Z.544","Purcell - If Ever I More Riches Did Desire, for 2 sopranos, tenor, bass, 2 violins, and continuo, Z.544",false,false,openopus
"henry-purcell-1659-if-music-be-the-food-of-love-z379-85","If Music Be the Food of Love, Z.379","If Music Be the Food of Love, Z.379","Purcell - If Music Be the Food of Love, Z.379",false,false,openopus
"henry-purcell-1659-in-guilty-night-z134-86","In Guilty Night, Z.134","In Guilty Night, Z.134","Purcell - In Guilty Night, Z.134",false,false,openopus
"henry-purcell-1659-in-nomine-of-seven-parts-for-chamber-ensemble-87","In Nomine of seven parts, for chamber ensemble","In Nomine of seven parts, for chamber ensemble","Purcell - In Nomine of seven parts, for chamber ensemble",false,false,openopus
"henry-purcell-1659-in-nomine-of-six-parts-for-chamber-ensemble-88","In Nomine of six parts, for chamber ensemble","In Nomine of six parts, for chamber ensemble","Purcell - In Nomine of six parts, for chamber ensemble",false,false,openopus
"henry-purcell-1659-in-the-midst-of-life-for-soloists-chorus-and-organ-z17a--89","In the midst of life, for soloists, chorus and organ, Z.17a ","In the midst of life, for soloists, chorus and organ, Z.17a ","Purcell - In the midst of life, for soloists, chorus and organ, Z.17a ",false,false,openopus
"henry-purcell-1659-in-vain-we-dissemble-z385-90","In vain we dissemble, Z.385","In vain we dissemble, Z.385","Purcell - In vain we dissemble, Z.385",false,false,openopus
"henry-purcell-1659-incassum-lesbia-incassum-rogas-z383-91","Incassum, Lesbia, incassum rogas, Z.383","Incassum, Lesbia, incassum rogas, Z.383","Purcell - Incassum, Lesbia, incassum rogas, Z.383",false,false,openopus
"henry-purcell-1659-jehova-quam-multi-sunt-sacred-song-for-tenor-bass-chorus-and-continuo-z135-92","Jehova, quam multi sunt, sacred song for tenor, bass, chorus and continuo, Z.135","Jehova, quam multi sunt, sacred song for tenor, bass, chorus and continuo, Z.135","Purcell - Jehova, quam multi sunt, sacred song for tenor, bass, chorus and continuo, Z.135",false,false,openopus
"henry-purcell-1659-jig-in-g-minor-z686-93","Jig in G minor, Z.686","Jig in G minor, Z.686","Purcell - Jig in G minor, Z.686",false,false,openopus
"henry-purcell-1659-king-arthur-or-the-british-worthy-z628--94","King Arthur or the British Worthy, Z.628 ","King Arthur or the British Worthy, Z.628 ","Purcell - King Arthur or the British Worthy, Z.628 ",false,false,openopus
"henry-purcell-1659-let-mine-eyes-run-down-with-tears-for-soloists-chorus-and-organ-z24--95","Let mine eyes run down with tears, for soloists, chorus and organ, Z.24 ","Let mine eyes run down with tears, for soloists, chorus and organ, Z.24 ","Purcell - Let mine eyes run down with tears, for soloists, chorus and organ, Z.24 ",false,false,openopus
"henry-purcell-1659-let-the-night-perish-sacred-song-for-soprano-chorus-and-continuo-z191-96","Let the Night Perish, sacred song for soprano, chorus and continuo, Z.191","Let the Night Perish, sacred song for soprano, chorus and continuo, Z.191","Purcell - Let the Night Perish, sacred song for soprano, chorus and continuo, Z.191",false,false,openopus
"henry-purcell-1659-lord-how-long-wilt-thou-be-angry-for-alto-tenor-bass-chorus-and-organ-z25--97","Lord, how long wilt Thou be angry, for alto, tenor, bass, chorus and organ, Z.25 ","Lord, how long wilt Thou be angry, for alto, tenor, bass, chorus and organ, Z.25 ","Purcell - Lord, how long wilt Thou be angry, for alto, tenor, bass, chorus and organ, Z.25 ",false,false,openopus
"henry-purcell-1659-lord-what-is-man-for-soprano-and-continuo-z192-98","Lord, What is Man? for soprano and continuo, Z.192","Lord, What is Man? for soprano and continuo, Z.192","Purcell - Lord, What is Man? for soprano and continuo, Z.192",false,false,openopus
"henry-purcell-1659-lost-is-my-quiet-forever-for-2-voices-and-continuo-z502-99","Lost is My Quiet Forever, for 2 voices and continuo, Z.502","Lost is My Quiet Forever, for 2 voices and continuo, Z.502","Purcell - Lost is My Quiet Forever, for 2 voices and continuo, Z.502",false,false,openopus
"henry-purcell-1659-love-triumphant-or-nature-will-prevail-z582-100","Love Triumphant, or Nature Will Prevail, Z.582","Love Triumphant, or Nature Will Prevail, Z.582","Purcell - Love Triumphant, or Nature Will Prevail, Z.582",false,false,openopus
"henry-purcell-1659-loves-goddess-sure-was-blind-z331-101","Love's Goddess Sure Was Blind, Z.331","Love's Goddess Sure Was Blind, Z.331","Purcell - Love's Goddess Sure Was Blind, Z.331",false,false,openopus
"henry-purcell-1659-lovely-albinas-come-ashore-z394-102","Lovely Albina's Come Ashore, Z.394","Lovely Albina's Come Ashore, Z.394","Purcell - Lovely Albina's Come Ashore, Z.394",false,false,openopus
"henry-purcell-1659-mad-bess-of-bedlam-from-silent-shades-103","Mad Bess of Bedlam, ""From silent shades""","Mad Bess of Bedlam, ""From silent shades""","Purcell - Mad Bess of Bedlam, ""From silent shades""",false,false,openopus
"henry-purcell-1659-man-that-is-born-of-a-woman-for-soprano-alto-tenor-chorus-and-organ-z27--104","Man that is born of a woman, for soprano, alto, tenor, chorus and organ, Z.27 ","Man that is born of a woman, for soprano, alto, tenor, chorus and organ, Z.27 ","Purcell - Man that is born of a woman, for soprano, alto, tenor, chorus and organ, Z.27 ",false,false,openopus
"henry-purcell-1659-march-and-canzona-for-the-funeral-of-queen-mary-for-4-trumpets-z860-105","March and Canzona for the Funeral of Queen Mary, for 4 trumpets, Z.860","March and Canzona for the Funeral of Queen Mary, for 4 trumpets, Z.860","Purcell - March and Canzona for the Funeral of Queen Mary, for 4 trumpets, Z.860",false,true,openopus
"henry-purcell-1659-march-in-c-major-z647-106","March in C major, Z.647","March in C major, Z.647","Purcell - March in C major, Z.647",false,false,openopus
"henry-purcell-1659-march-in-c-major-z648-107","March in C major, Z.648","March in C major, Z.648","Purcell - March in C major, Z.648",false,false,openopus
"henry-purcell-1659-me-o-ye-gods-for-2-voices-and-continuo-108","Me O Ye Gods, for 2 voices and continuo","Me O Ye Gods, for 2 voices and continuo","Purcell - Me O Ye Gods, for 2 voices and continuo",false,false,openopus
"henry-purcell-1659-minuet--in-d-minor-z688-109","Minuet  in D minor, Z.688","Minuet  in D minor, Z.688","Purcell - Minuet  in D minor, Z.688",false,false,openopus
"henry-purcell-1659-minuet-in-a-minor-z649-110","Minuet in A minor, Z.649","Minuet in A minor, Z.649","Purcell - Minuet in A minor, Z.649",false,false,openopus
