work_id,scored_for_type,scored_for_id,is_featured,status
antonio-vivaldi-1678-chamber-concerto-in-d-minor-for-flute-violin-bassoon-and-continuo-rv96-107,instrument,lute,false,pending
antonio-vivaldi-1678-chamber-concerto-in-d-minor-for-flute-violin-bassoon-and-continuo-rv96-107,instrument,lute,true,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-oboe-violin-and-bassoon-rv99-108,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-oboe-violin-and-bassoon-rv99-108,instrument,lute,false,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-oboe-violin-and-bassoon-rv99-108,instrument,lute,true,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-oboe-violin-bassoon-and-continuo-rv98-la-tempesta-di-mare-109,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-oboe-violin-bassoon-and-continuo-rv98-la-tempesta-di-mare-109,instrument,lute,false,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-oboe-violin-bassoon-and-continuo-rv98-la-tempesta-di-mare-109,instrument,lute,true,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-violin-bassoon-and-continuo-rv100-110,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-violin-bassoon-and-continuo-rv100-110,instrument,lute,false,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-flute-violin-bassoon-and-continuo-rv100-110,instrument,lute,true,pending
antonio-vivaldi-1678-chamber-concerto-in-f-major-for-viola-damore-2-horns-2-oboes-bassoon-and-continuo-rv97-111,ensemble,symphony-orchestra,false,pending
